mobile_name,mobile_price,mobile_color,Sims,disp_size,resolution,os,num_cores,mp_speed,int_memory,ram,battery_power,mob_width,mob_height,mob_depth,mob_weight,Brand,5G_connectivity,VOLTE_connectivity,4G_connectivity,3G_connectivity,2G_connectivity,primary_cam,secondary_cam,tertiary_cam,quaternary_cam,Low_light_sensor,f_cam_primary,f_cam_secondary
Note 7 Pro ,13999,White,2,6.3,FHD+,Android Pie 9,Octa Core,2.0,128,6,4000,75.21,159.21,8.1,186.0,Redmi,No,Yes,No,Yes,Yes,48,5,0,0,No,13,0
Note 9 Pro Max ,16999,Black,2,6.67,FHD+,Android 10,Octa Core,2.3,128,6,5020,76.68,165.5,8.8,209.0,Redmi,No,Yes,No,Yes,Yes,64,8,5,2,No,32,0
Note 9 Pro Max ,16999,White,2,6.67,FHD+,Android 10,Octa Core,2.3,128,6,5020,76.68,165.5,8.8,209.0,Redmi,No,Yes,No,Yes,Yes,64,8,5,2,No,32,0
8A ,6999,Red,2,6.22,HD+,Android Pie 9,Octa Core,1.95,32,2,5000,75.41,156.48,9.4,188.0,Redmi,No,Yes,No,Yes,Yes,12,0,0,0,No,8,0
Note 7 Pro ,10999,Black,2,6.3,FHD+,Android Pie 9,Octa Core,2.0,64,4,4000,75.21,159.21,8.1,186.0,Redmi,No,Yes,No,Yes,Yes,48,5,0,0,No,13,0
10 ,55400,Green,2,6.67,FHD+,Android 10,Octa Core,2.84,256,8,4780,74.8,162.58,8.96,209.0,Mi,Yes,Yes,No,Yes,Yes,108,0,0,0,No,20,0
Note 5 Pro ,13999,Black,2,5.99,FHD+,Android Nougat 7,Octa Core,1.8,64,6,4000,75.35,158.58,8.05,181.0,Redmi,No,Yes,No,Yes,Yes,12,5,0,0,No,20,0
Note 5 Pro ,16999,Gold,2,5.99,FHD+,Android Nougat 7,Octa Core,1.8,64,6,4000,75.35,158.58,8.05,181.0,Redmi,No,Yes,No,Yes,Yes,12,5,0,0,No,20,0
Note 5 Pro ,12999,Red,2,5.99,FHD+,Android Nougat 7,Octa Core,1.8,64,4,4000,75.35,158.58,8.05,181.0,Redmi,No,Yes,No,Yes,Yes,12,5,0,0,No,20,0
A2 ,13999,Red,2,5.99,FHD+,Android Oreo 8,Octa Core,2.2,64,4,3010,75.4,158.7,7.3,168.0,Mi,No,Yes,No,Yes,Yes,20,12,0,0,No,20,0
